	ISO-001	ISO-002	ISO-003	ISO-004	ISO-005	ISO-006	ISO-007	ISO-008	ISO-009	ISO-010	ISO-011	ISO-012	ISO-013	ISO-014	ISO-015	ISO-016	ISO-017	ISO-018	ISO-019	ISO-020	ISO-021	ISO-022	ISO-023	ISO-024	ISO-025	ISO-026	ISO-027	ISO-028	ISO-029	ISO-030	ISO-031	ISO-032	ISO-033	ISO-034	ISO-035	ISO-036	ISO-037	ISO-038	ISO-039	ISO-040	ISO-041	ISO-042	ISO-043	ISO-044	ISO-045	ISO-046	ISO-047
ISO-011	0	1	0	1	1	1	0	0	1	0	0	1	9	11	10	25	21	32	11	12	52	33	21	53	23	14	55	5	57	8	50	30	12	59	28	7	45	60	13	35	57	11	49	28	8	16	53
ISO-012	0	1	1	1	0	0	0	0	1	0	1	0	13	15	12	21	23	21	19	9	53	10	47	45	29	40	27	34	46	30	59	52	9	55	13	16	25	50	33	47	8	46	7	18	17	51	26
ISO-013	15	15	8	9	13	13	15	11	8	15	9	13	0	1	1	36	34	74	31	63	32	61	53	79	74	33	76	39	48	57	75	47	77	45	50	77	68	64	48	30	37	45	59	74	34	32	63
ISO-014	12	14	11	13	10	14	12	12	11	12	11	15	1	0	0	37	34	76	52	52	69	35	40	76	37	74	65	79	43	60	32	64	32	49	46	39	57	44	34	66	39	46	46	65	66	55	34
ISO-015	8	15	14	8	12	10	13	10	9	10	10	12	1	0	0	32	36	79	78	38	42	54	43	38	41	77	66	54	58	46	58	38	33	60	58	50	53	36	73	31	54	49	69	59	39	56	60
ISO-016	25	21	27	27	20	26	30	25	26	20	25	21	36	37	32	0	1	66	86	57	87	88	80	83	64	87	66	70	60	69	60	69	42	43	80	83	52	40	41	79	63	53	76	66	62	44	58
ISO-017	21	28	29	20	27	22	24	26	28	22	21	23	34	34	36	1	0	79	73	64	48	72	40	90	70	76	67	57	84	41	61	77	80	52	40	89	41	81	70	40	51	49	43	70	46	57	59
ISO-018	47	31	8	25	56	13	55	42	49	36	32	21	74	76	79	66	79	0	90	188	276	260	254	364	144	197	296	139	178	265	308	80	205	203	182	181	350	204	273	96	326	257	198	280	324	320	355
ISO-019	58	43	32	21	43	5	27	38	48	52	11	19	31	52	78	86	73	90	0	387	324	193	324	290	184	221	82	149	122	365	376	319	169	382	156	343	325	374	316	121	83	85	392	143	350	212	355
ISO-020	59	20	6	57	54	32	44	6	21	50	12	9	63	52	38	57	64	188	387	0	300	101	220	294	244	126	324	302	102	142	297	119	95	197	159	195	311	153	299	268	210	116	174	199	345	80	168
ISO-021	39	5	15	45	48	34	51	18	40	16	52	53	32	69	42	87	48	276	324	300	0	319	90	265	159	229	86	157	340	388	119	366	392	288	148	290	178	188	267	126	178	382	201	282	113	311	204
ISO-022	53	9	52	41	36	9	8	49	41	44	33	10	61	35	54	88	72	260	193	101	319	0	272	88	139	151	121	371	242	170	158	166	157	298	254	363	344	174	183	200	347	309	223	334	280	277	314
ISO-023	25	59	9	32	56	17	46	39	55	41	21	47	53	40	43	80	40	254	324	220	90	272	0	137	290	138	111	323	92	306	148	367	91	330	373	215	394	122	356	365	153	303	319	265	92	298	106
ISO-024	13	55	37	21	31	39	50	21	43	49	53	45	79	76	38	83	90	364	290	294	265	88	137	0	203	166	190	398	264	189	234	309	307	336	380	367	351	276	204	203	199	224	377	291	206	334	336
ISO-025	33	21	6	52	13	25	59	25	47	32	23	29	74	37	41	64	70	144	184	244	159	139	290	203	0	127	109	220	224	94	245	271	339	267	361	223	129	312	278	234	281	150	128	185	347	342	257
ISO-026	29	29	22	57	36	17	43	57	10	32	14	40	33	74	77	87	76	197	221	126	229	151	138	166	127	0	166	388	392	139	300	248	357	183	235	286	288	275	164	244	373	184	153	241	228	199	400
ISO-027	42	18	57	17	40	5	32	46	21	28	55	27	76	65	66	66	67	296	82	324	86	121	111	190	109	166	0	365	113	228	285	232	392	162	378	161	363	386	162	180	111	358	132	270	186	394	287
ISO-028	60	13	22	18	14	7	13	25	25	54	5	34	39	79	54	70	57	139	149	302	157	371	323	398	220	388	365	0	132	326	382	261	327	310	262	339	307	137	311	259	223	272	283	119	153	328	86
ISO-029	20	53	22	22	13	40	48	21	41	34	57	46	48	43	58	60	84	178	122	102	340	242	92	264	224	392	113	132	0	116	297	142	232	335	370	344	164	182	342	331	396	317	368	209	389	185	131
ISO-030	52	42	9	31	42	11	31	12	53	11	8	30	57	60	46	69	41	265	365	142	388	170	306	189	94	139	228	326	116	0	255	132	93	153	200	196	85	117	117	128	325	85	184	379	197	195	317
ISO-031	12	9	48	19	29	52	50	49	24	33	50	59	75	32	58	60	61	308	376	297	119	158	148	234	245	300	285	382	297	255	0	280	158	225	238	318	213	338	218	202	185	251	232	111	210	171	239
ISO-032	24	16	14	27	31	36	7	40	32	54	30	52	47	64	38	69	77	80	319	119	366	166	367	309	271	248	232	261	142	132	280	0	151	361	179	245	184	264	264	201	186	302	184	226	346	87	83
ISO-033	49	36	32	59	49	19	24	28	46	51	12	9	77	32	33	42	80	205	169	95	392	157	91	307	339	357	392	327	232	93	158	151	0	232	81	259	98	147	357	246	283	144	313	133	387	105	149
ISO-034	18	55	6	25	43	40	49	43	15	25	59	55	45	49	60	43	52	203	382	197	288	298	330	336	267	183	162	310	335	153	225	361	232	0	373	375	146	157	393	246	302	298	269	335	132	159	129
ISO-035	42	60	6	57	55	14	39	35	26	54	28	13	50	46	58	80	40	182	156	159	148	254	373	380	361	235	378	262	370	200	238	179	81	373	0	233	86	94	175	172	343	394	179	370	349	266	248
ISO-036	30	17	51	33	14	23	45	34	15	10	7	16	77	39	50	83	89	181	343	195	290	363	215	367	223	286	161	339	344	196	318	245	259	375	233	0	332	112	369	141	186	354	394	115	223	371	131
ISO-037	33	39	5	24	47	32	38	42	13	46	45	25	68	57	53	52	41	350	325	311	178	344	394	351	129	288	363	307	164	85	213	184	98	146	86	332	0	238	250	85	270	222	302	348	295	378	93
ISO-038	57	6	31	57	35	41	50	47	43	39	60	50	64	44	36	40	81	204	374	153	188	174	122	276	312	275	386	137	182	117	338	264	147	157	94	112	238	0	348	285	385	375	272	295	261	393	135
ISO-039	50	14	28	29	6	12	51	34	54	5	13	33	48	34	73	41	70	273	316	299	267	183	356	204	278	164	162	311	342	117	218	264	357	393	175	369	250	348	0	244	355	340	206	125	185	367	175
ISO-040	51	16	12	48	8	24	47	28	13	30	35	47	30	66	31	79	40	96	121	268	126	200	365	203	234	244	180	259	331	128	202	201	246	246	172	141	85	285	244	0	220	134	361	232	182	108	280
ISO-041	35	29	41	22	25	10	42	19	43	26	57	8	37	39	54	63	51	326	83	210	178	347	153	199	281	373	111	223	396	325	185	186	283	302	343	186	270	385	355	220	0	223	351	386	308	121	278
ISO-042	60	24	46	60	40	12	19	21	43	28	11	46	45	46	49	53	49	257	85	116	382	309	303	224	150	184	358	272	317	85	251	302	144	298	394	354	222	375	340	134	223	0	360	391	182	108	147
ISO-043	59	45	60	46	14	17	9	59	46	19	49	7	59	46	69	76	43	198	392	174	201	223	319	377	128	153	132	283	368	184	232	184	313	269	179	394	302	272	206	361	351	360	0	112	278	257	227
ISO-044	12	31	15	54	35	22	49	15	44	52	28	18	74	65	59	66	70	280	143	199	282	334	265	291	185	241	270	119	209	379	111	226	133	335	370	115	348	295	125	232	386	391	112	0	386	137	300
ISO-045	16	23	56	7	60	55	24	10	36	51	8	17	34	66	39	62	46	324	350	345	113	280	92	206	347	228	186	153	389	197	210	346	387	132	349	223	295	261	185	182	308	182	278	386	0	388	179
ISO-046	22	55	8	11	12	27	18	39	11	12	16	51	32	55	56	44	57	320	212	80	311	277	298	334	342	199	394	328	185	195	171	87	105	159	266	371	378	393	367	108	121	108	257	137	388	0	253
ISO-047	36	40	12	8	13	11	5	23	48	47	53	26	63	34	60	58	59	355	355	168	204	314	106	336	257	400	287	86	131	317	239	83	149	129	248	131	93	135	175	280	278	147	227	300	179	253	0
